id,text,language,crop,label,answer
32,How to protect stored grains from insect damage?,en,generic,pest_prevention,"Clean storage, use hermetic bags, apply grain protectant chemicals, and monitor regularly to prevent insect damage."
33,What precautions should I take during hot dry winds?,en,cotton,weather_impact,Irrigate more frequently during loo conditions and apply potassium spray to reduce heat stress.
34,How fast does cotton plant grow after germination?,en,cotton,crop_growth,Cotton seedlings emerge in 5 to 7 days and reach full canopy within 6 to 8 weeks.
35,How to improve clay soil structure for better farming?,en,generic,soil_health,"Add gypsum, compost, and practice deep tillage to break up heavy clay soil structure."
36,How can I test cotton seed germination before planting?,en,cotton,seed_selection,Place 10 seeds on a wet cloth for 5 days; 7 or more sprouting indicates good germination.
37,Kapas par pesticide kitni baar lagana chahiye?,ru,cotton,pest_control,"Sirf zaroorat hone par spray karein, ek mausam mein 3 se 5 baar kafi hota hai."
38,Can I reuse last year cotton seeds for planting?,en,cotton,seed_selection,Reusing seeds is not recommended as BT varieties lose effectiveness; always use fresh certified seed.
39,How do I know when cotton plant needs water?,en,cotton,irrigation_schedule,Slight drooping of upper leaves in the evening is a reliable sign cotton plant needs irrigation.
40,How to treat cotton leaf curl virus disease?,en,cotton,disease_management,"There is no direct cure; use resistant varieties, control whitefly vector, and remove infected plants early."
41,How does water stress affect cotton boll development?,en,cotton,irrigation_schedule,Water stress during boll formation causes shedding and reduces boll size and fiber quality.
42,Kapas ki jarh galanay wali bimari se kaise bachein?,ru,cotton,disease_management,"Drainage behtar karein, beej ko fungicide se treat karein, aur crop rotation karein."
43,How to treat cotton leaf curl virus disease?,en,cotton,disease_management,"There is no direct cure; use resistant varieties, control whitefly vector, and remove infected plants early."
44,What tillage depth is recommended before cotton planting?,en,cotton,farming_equipment,Deep plow to at least 30 cm depth before cotton planting for good root development.
45,What is the best plant population per acre for cotton?,en,cotton,yield_improvement,"Maintain 10,000 to 12,000 plants per acre for optimal cotton yield."
46,How does drought affect cotton yield in Pakistan?,en,cotton,weather_impact,"Drought during boll formation reduces boll size and fiber quality, causing significant yield loss."
47,How long can harvested cotton be stored safely?,en,cotton,storage_methods,Properly stored cotton can maintain quality for 3 to 6 months without significant grade loss.
48,How fast does cotton plant grow after germination?,en,cotton,crop_growth,Cotton seedlings emerge in 5 to 7 days and reach full canopy within 6 to 8 weeks.
49,When is the most critical irrigation time for cotton?,en,cotton,irrigation_schedule,The most critical irrigation is at flowering and boll formation stages to ensure maximum yield.
50,Which farming practice increases cotton fiber length?,en,cotton,yield_improvement,"Adequate potassium, optimal irrigation, and pest-free crop conditions promote longer cotton fiber."
51,How to control bacterial blight in cotton crop?,en,cotton,disease_management,Use copper-based bactericides and disease-free certified seeds; avoid overhead irrigation to reduce spread.
52,Zameen mein paani rokne ke liye kya milana chahiye?,ru,generic,soil_health,Compost aur gobar ki khaad reti wali zameen mein paani rokne ki salaahiyat barhata hai.
53,Which cotton variety is resistant to bollworm attack?,en,cotton,seed_selection,BT cotton varieties carry bollworm resistance; consult your local agriculture department for current recommendations.
54,What organic fertilizers work best for cotton crop?,en,cotton,organic_farming,"Farm yard manure, compost, and vermicompost improve soil fertility and work well for cotton."
55,How many times should I spray pesticide on cotton?,en,cotton,pest_control,"Spray only when pest levels cross the economic threshold, usually 3 to 5 times per season."
56,Kapas ke phoolon ke waqt kitne pani ki zaroorat hai?,ru,cotton,irrigation_schedule,Phoolon ke waqt 10 din ke fark par 2 se 3 baar pani dena zaroori hai.
57,Kapas ka abhi market mein kya bhaav chal raha hai?,ru,cotton,market_price,Bhaavin roz badalta hai; PCGA website ya apni local mandi se aaj ki rate maloom karein.
58,Which spray controls both whitefly and jassid together?,en,cotton,pest_control,Spiromesifen or flonicamid can control both whitefly and jassid effectively in cotton.
59,Kapas ki fasal ke liye NPK ka anupat kya hona chahiye?,ru,cotton,fertilizer_usage,"Aam tor par 1.5 boria urea, 1 boria DAP aur 0.5 boria SOP per acre kafi rehta hai."
60,Pani ki kami se kapas ke tiinday par kya asar hota hai?,ru,cotton,irrigation_schedule,Tindayon ke waqt pani ki kami se tindaay girte hain aur fiber ki quality kharab hoti hai.
61,Do paniyon ke darmiyan kitna fark hona chahiye?,ru,cotton,irrigation_schedule,Zameen aur mausam ke hisaab se 10 se 15 din ka fark do paniyon ke darmiyan rakhein.
62,Baarish mein kapas todne se quality par kya asar hota hai?,ru,cotton,harvesting,Baarish se khule tindayon mein daag par jaate hain aur grade kum ho jaata hai.
63,Kapas mein growth regulator se paidawar barhti hai?,ru,cotton,yield_improvement,Mepiquat chloride phoolon ke waqt dena zyada badhwaar rokta hai aur tindaay zyada bante hain.
64,How to apply zinc fertilizer to cotton fields?,en,cotton,fertilizer_usage,Apply zinc sulphate at 5 kg per acre in soil or use foliar spray at first irrigation.
65,Which cotton variety is resistant to bollworm attack?,en,cotton,seed_selection,BT cotton varieties carry bollworm resistance; consult your local agriculture department for current recommendations.
66,Pakistan mein soil health ke liye cover crops kaunse hain?,ru,generic,crop_rotation,"Guar, senji aur berseem zameen ki fertility aur banawat sudharne wali behtar cover crops hain."
67,Kapas ki zameen tayyaar karne ke liye kaunsi machine chahiye?,ru,cotton,farming_equipment,"Chisel plow, rotavator aur ridger tractor ke saath lagaa kar kapas ki zameen tayaar ki jaati hai."
68,What is the best BT cotton seed available in Pakistan?,en,cotton,seed_selection,NIAB-878 and CIM-599 are among the top certified BT cotton seeds available in Pakistan.
69,Kapas ki beejai ke liye zameen ka tapmaan kitna hona chahiye?,ru,cotton,sowing_time,Kapas ki beejai ke liye zameen ka tapmaan kam az kam 18 darje hona chahiye.
70,When should I plant cotton seeds in Punjab?,en,cotton,sowing_time,"In Punjab, cotton seeds should be planted from late April to mid-May for optimal results."
71,Can I mix DAP and urea together for cotton?,en,cotton,fertilizer_usage,It is better to apply DAP at sowing and urea later in splits rather than mixing both.
72,Ek acre mein kitne kapas ke paudhay lagane chahiye?,ru,cotton,yield_improvement,"Ek acre mein 10,000 se 12,000 paudhay lagana behtareen paidawar ke liye mana jaata hai."
73,How to improve soil drainage for cotton fields?,en,cotton,soil_type,Create ridges or beds for cotton planting and make drainage channels along field borders.
74,Kapas mein tela keere ka ilaj kya hai?,ru,cotton,pest_control,Imidacloprid ya acetamiprid ka spray tela keere par bohot asar karta hai.
75,What is the current cotton price in Pakistan?,en,cotton,market_price,Cotton prices fluctuate regularly; check local mandi rates or PCGA website for current market price.
76,Intercropping keeron ki roktham mein kaise madadgar hai?,ru,generic,pest_prevention,"Intercropping keeron ko confuse karta hai, mufeed hasharat laata hai aur ek fasal par attack kum karta hai."
77,Which cotton variety grows well in clay soil?,en,cotton,seed_selection,Varieties like CIM-599 and MNH-886 perform well in clay soils with proper drainage.
78,Zameen mein keenchway ka kya kirdar hai?,ru,generic,soil_health,"Keenchway zameen mein hawa aur naali banate hain, organic madda torte hain aur ghizayi ajza available karte hain."
79,How to prevent pesticide resistance in cotton pests?,en,cotton,pest_control,Rotate between chemical classes every spray to prevent resistance buildup in cotton pests.
80,Which drip irrigation system is best for small farms?,en,generic,irrigation_methods,Inline drip systems with pressure compensating emitters are most suitable for small farms.
81,How does high humidity affect cotton disease incidence?,en,cotton,weather_impact,High humidity promotes fungal and bacterial diseases; ensure proper plant spacing for air circulation.
82,How does cotton quality affect market price?,en,cotton,market_price,"Higher grade cotton with long fiber, low moisture, and no trash fetches significantly better market price."
83,What type of bags are best for cotton storage?,en,cotton,storage_methods,"Clean, dry jute bags allow air circulation while protecting cotton; avoid plastic bags that trap moisture."
84,How to improve water use efficiency on my farm?,en,generic,irrigation_methods,"Adopt drip or sprinkler irrigation, level fields properly, irrigate at night, and reduce tillage."
85,Kapas ki beejai mein deri hojaye to kya karein?,ru,cotton,sowing_time,"Agar June ke baad beejai ho to paidawar mein kami aa sakti hai, jaldi sahi variety chunein."
86,What is integrated pest management for cotton crop?,en,cotton,pest_control,"IPM combines scouting, resistant varieties, biological controls, and targeted chemical use for cotton pests."
87,What are the benefits of growing legumes before wheat?,en,generic,crop_rotation,"Legumes fix atmospheric nitrogen and improve soil structure, boosting wheat yield in the next crop."
88,Kapas todne ka sahi waqt kab hota hai?,ru,cotton,harvesting,Jab khet mein 60 faised tindaay khul jayein to pehli todaai shuru karein.
89,What biological pesticides are available for cotton pests?,en,cotton,organic_farming,"Beauveria bassiana, NPV for bollworm, and neem-based products are available biological pesticides."
90,Which cotton variety matures earliest in the season?,en,cotton,seed_selection,Early maturing varieties like CIM-496 help farmers in areas with shorter growing seasons.
91,What month is ideal for cotton sowing in Sindh?,en,cotton,sowing_time,"In Sindh, April is the ideal month for cotton sowing due to warmer soil temperatures."
92,Kapas ka beej kharidte waqt kya dekhna chahiye?,ru,cotton,seed_selection,"Certified label, germination rate aur beejai ki taareekh zaroor check karein beej khariidte waqt."
93,Is there a biological control method for cotton bollworm?,en,cotton,pest_control,Trichogramma egg parasitoids can be released in cotton fields to control bollworm biologically.
94,Can I use a seed drill for cotton planting?,en,cotton,farming_equipment,"Yes, a seed drill with adjustable spacing can be used for cotton sowing in flat fields."
95,How many fertilizer doses does cotton crop need?,en,cotton,fertilizer_usage,"Cotton needs three main fertilizer doses: at sowing, at squaring, and at boll formation stage."
96,How to store seeds properly to maintain germination rate?,en,generic,farming_advice,"Store seeds in airtight containers in a cool, dry, dark place with silica gel to absorb moisture."
97,Should I irrigate cotton before or after fertilizer application?,en,cotton,irrigation_schedule,Irrigate after applying fertilizer to help nutrients move into the root zone effectively.
98,Kapas ke pattay peele kyon hojate hain?,ru,cotton,disease_management,"Patton ka peela hona nitrogen ki kami, paani bhar jaane, jad ki bimari ya leaf curl se ho sakta hai."
99,Kapas ka phool khilne ke kitne din baad tindaa tayaar hota hai?,ru,cotton,harvesting,Phool khilne ke 45 se 60 din baad tinda paknay aur kholne ke liye tayaar ho jaata hai.
100,How to manage frost damage to vegetable crops?,en,generic,weather_effects,"Cover plants with cloth at night, irrigate before frost, and apply potassium spray to reduce frost damage."
101,Kapas ki quality daam par kaise asar daalti hai?,ru,cotton,market_price,"Uzda fiber, kam naami aur saf kapas zyada daam milti hai mandi mein."
102,Loo se kapas ke paudhon ko kaise bachayein?,ru,cotton,weather_impact,Loo ke doran pani zyada dein aur potassium spray garmi ke stress ko kum karne mein madadgar hai.
103,What is integrated pest management and how does it work?,en,generic,pest_prevention,"IPM combines cultural, biological, and chemical methods to control pests economically and safely."
104,How do I prevent pesticide runoff into water sources?,en,generic,pest_prevention,Maintain buffer zones near water bodies and avoid spraying before expected heavy rain.
105,Kapas ki patti murjhane ki bimari ka ilaj kya hai?,ru,cotton,disease_management,"Seedha ilaj nahi hai, resistant varieties lagayein, safed makkhi control karein aur beemar paudhay hata dein."
106,Gandum se pehle dalhan ugane ka kya faida hai?,ru,generic,crop_rotation,Dalhan fizaai nitrogen zameen mein lagati hai aur zameen ki banawat behtar karti hai gandum ke liye.
107,What are the benefits of drip irrigation over flood irrigation?,en,generic,irrigation_methods,"Drip saves 40 to 60 percent water, delivers nutrients directly to roots, and reduces weed growth."
108,What micronutrients does cotton crop need for growth?,en,cotton,fertilizer_usage,Zinc and boron are the most critical micronutrients for cotton growth and boll development.
109,Kapas ke reeshay ki lambai barhane ke liye kya karein?,ru,cotton,yield_improvement,"Potash ki sahi miqdar, waqt par pani aur keeron se bachao fiber ki lambai barhata hai."
110,Which tractor attachment is best for cotton sowing?,en,cotton,farming_equipment,A ridger-cum-planter or cotton planter attachment gives uniform seed placement and spacing.
111,What crops grow best in sandy soil in Pakistan?,en,generic,farming_advice,"Watermelon, muskmelon, groundnut, and sorghum grow well in sandy soils with good irrigation."
112,Kapas ke liye khad dene ka schedule kya hona chahiye?,ru,cotton,fertilizer_usage,"DAP beejai par, urea kaat ke waqt, aur SOP tinda banane ke waqt dena chahiye."
113,Can resistant varieties prevent cotton leaf curl virus?,en,cotton,disease_management,Resistant varieties significantly reduce damage but are not fully immune to leaf curl virus.
114,Can I reuse last year cotton seeds for planting?,en,cotton,seed_selection,Reusing seeds is not recommended as BT varieties lose effectiveness; always use fresh certified seed.
115,Can I reuse last year cotton seeds for planting?,en,cotton,seed_selection,Reusing seeds is not recommended as BT varieties lose effectiveness; always use fresh certified seed.
116,What are the signs of nitrogen deficiency in crops?,en,generic,fertilizer_guidance,Yellowing of older leaves starting from leaf tip is the most common sign of nitrogen deficiency.
117,Kapas mein phool kab aana shuru hote hain?,ru,cotton,crop_growth,Germination ke 35 se 45 din baad kapas mein flower buds yaani squares banna shuru hote hain.
118,Chikni zameen ke liye kaunsa kapas ka beej behtar hai?,ru,cotton,seed_selection,CIM-599 aur MNH-886 chikni zameen mein acha kaam karte hain agar drainage theek ho.
119,Kapas todne se pehle pani band kar dena chahiye?,ru,cotton,irrigation_schedule,"Haan, aakhri todaai se 3 se 4 hafte pehle pani band kar dein taakay tindaay theek khulen."
120,What are the main growth stages of cotton plant?,en,cotton,crop_growth,"Cotton growth stages are: germination, seedling, squaring, flowering, boll formation, and boll opening."
121,What documents do I need to sell cotton at mandi?,en,cotton,market_price,"Bring your CNIC, land ownership document, and quality certificate from ginning unit if available."
122,Which spray controls both whitefly and jassid together?,en,cotton,pest_control,Spiromesifen or flonicamid can control both whitefly and jassid effectively in cotton.
123,Kapas ke chhotay paudhay dheere barhein to kya karein?,ru,cotton,crop_growth,"Thandak, ghizayi kami, pani rokna ya bimari badhwaar dheemi kar sakti hai, jaanch karein."
124,Kapas ki kasht ke liye kon sa mahina munasib hai?,ru,cotton,sowing_time,Apail ke aakhir aur May ka mahina kapas ki kasht ke liye munasib hai.
125,Drip irrigation kapas ke liye faida mand hai?,ru,cotton,irrigation_schedule,"Haan, drip irrigation se 30 se 40 faised pani bachta hai aur paidawar bhi behtar hoti hai."
126,Mandi mein kapas bechne ke liye kaunse kaagaz chahiye?,ru,cotton,market_price,"CNIC, zameen ki milk document aur ginning unit ka quality certificate lazim ho sakta hai."
127,What causes sudden wilting of vegetable plants?,en,generic,pest_prevention,"Sudden wilting is often caused by fusarium wilt, root rot, or severe pest attack at root zone."
128,What is the optimal sowing date for BT cotton?,en,cotton,sowing_time,BT cotton should be sown between April 25 and May 15 for maximum boll development.
129,What is the difference between organic and chemical fertilizers?,en,generic,fertilizer_guidance,Organic fertilizers release nutrients slowly and improve soil health; chemical fertilizers act fast but can degrade soil long term.
130,How does moisture content in cotton affect selling price?,en,cotton,market_price,"Cotton with more than 8 percent moisture gets deducted weight at mandi, reducing effective price."
131,Be-mausam barishon se fasal kaise bachayein?,ru,generic,weather_effects,Kharain belnd karein drainage ke liye aur baarish se pehle protective fungicide spray karein.
132,What causes soil salinity and how to fix it?,en,generic,soil_health,Poor drainage and low-quality irrigation water cause salinity; leach with good water and add gypsum.
133,Maashmi tabdeeli se fasalaat ki paidawar par kya asar hota hai?,ru,generic,weather_effects,Irregular barishen aur barhta tapmaan Pakistan mein fasalaat ki paidawar ko mutasir kar raha hai.
134,Can cotton be sown in sandy soil during April?,en,cotton,sowing_time,"Yes, sandy soil warms faster and April sowing works well if irrigation is managed carefully."
135,Kapas ko thrips se bachane ka tareeqa kya hai?,ru,cotton,pest_control,"Spinosad ya imidacloprid ka spray thrips dikhte hi karein, mufeed keeron ko bachayein."
136,What happens to cotton if it rains during flowering?,en,cotton,weather_impact,Rain during flowering can cause flower drop and increase disease risk; spray fungicide after rain.
137,Can I grow cotton without using chemical pesticides?,en,cotton,organic_farming,"Yes, IPM and organic methods can reduce chemical use; use neem, biological controls, and resistant varieties."
138,How to protect cotton from thrips infestation?,en,cotton,pest_control,Apply spinosad or imidacloprid spray at first signs of thrips; avoid over-spraying beneficial insects.
139,Which weeks in April are best for cotton sowing?,en,cotton,sowing_time,The last two weeks of April are best for cotton sowing in most Pakistani regions.
140,Can cotton tolerate waterlogging after heavy rains?,en,cotton,weather_impact,Cotton cannot tolerate waterlogging beyond 2 days; open drainage channels immediately after heavy rain.
141,How to conserve water during summer irrigation?,en,generic,irrigation_methods,"Irrigate in early morning or evening, use furrow method, and apply mulch to reduce evaporation."
142,How to prevent fungal diseases in vegetable crops?,en,generic,pest_prevention,"Use disease-free seeds, improve air circulation, and apply copper-based fungicide as prevention."
143,How to improve water use efficiency on my farm?,en,generic,irrigation_methods,"Adopt drip or sprinkler irrigation, level fields properly, irrigate at night, and reduce tillage."
144,Kapas mein nami se kya masail aate hain?,ru,cotton,storage_methods,Zyada naami se phaphoond lag jaati hai aur fiber ka rang aur grade kharab hota hai.
145,Is potassium fertilizer necessary for cotton plants?,en,cotton,fertilizer_usage,"Yes, potassium improves fiber quality and boll weight; apply SOP at boll formation stage."
146,How much water does cotton need per irrigation?,en,cotton,irrigation_schedule,Cotton needs approximately 3 to 4 inches of water per irrigation application.
147,How does proper irrigation scheduling improve cotton yield?,en,cotton,yield_improvement,Timely irrigation at critical growth stages prevents stress and improves boll retention and size.
148,How does potash affect cotton boll weight?,en,cotton,fertilizer_usage,Adequate potash increases boll weight and improves the staple length of cotton fiber.
149,Kapas ki fasal kab tak tayaar hoti hai mukammal?,ru,cotton,crop_growth,Beejai se le kar akhri todaai tak kapas ko 150 se 180 din lagte hain.
150,Kapas ki zameen tayyaar karne ke liye kaunsi machine chahiye?,ru,cotton,farming_equipment,"Chisel plow, rotavator aur ridger tractor ke saath lagaa kar kapas ki zameen tayaar ki jaati hai."
151,Should I irrigate cotton before or after fertilizer application?,en,cotton,irrigation_schedule,Irrigate after applying fertilizer to help nutrients move into the root zone effectively.
152,What is the correct way to apply urea fertilizer?,en,generic,fertilizer_guidance,"Apply urea in splits, broadcast on moist soil, and avoid surface application during hot windy weather."
153,What role does mulching play in cotton yield improvement?,en,cotton,yield_improvement,"Mulching conserves soil moisture, suppresses weeds, and maintains optimal temperature for root growth."
154,Can rain affect cotton quality during outdoor storage?,en,cotton,storage_methods,"Yes, outdoor storage without cover causes moisture absorption and fiber staining; always store indoors."
155,Paudhon ke darmiyan fasla kapas ki paidawar par kaise asar karta hai?,ru,cotton,yield_improvement,Qaatron mein 75 cm aur paudhon mein 30 cm ka faasla roshni aur hawa ke liye behtar hai.
156,How to test soil fertility before planting cotton?,en,cotton,soil_type,Send soil samples to the nearest agricultural laboratory for NPK and micronutrient analysis.
157,What is the process to get organic cotton certification?,en,cotton,organic_farming,Contact a certified organic body; follow three-year transition period and document all farming practices.
158,Neem ka spray kapas ke keedon par asar karta hai?,ru,cotton,pest_control,0.5 faised neem extract ka spray kapas ke chusti keeron ko kafi had tak dabata hai.
159,When should I plant cotton seeds in Punjab?,en,cotton,sowing_time,"In Punjab, cotton seeds should be planted from late April to mid-May for optimal results."
160,How many times should I irrigate cotton per season?,en,cotton,irrigation_schedule,Cotton typically requires 6 to 8 irrigations during the growing season depending on rainfall.
161,Kapas mein phosphorus ki kami ke kya nuksanaat hain?,ru,cotton,fertilizer_usage,Phosphorus ki kami se jarhen kamzor hoti hain aur paudha sahi tarah se nahi badhta.
162,How does day length affect cotton plant flowering?,en,cotton,crop_growth,"Cotton is a short-day plant; longer nights trigger flowering, which naturally occurs in July to August."
163,Kapas ko leaf curl virus lag jaye to kya kiya jaye?,ru,cotton,disease_management,"Seedha ilaj nahi, safed makkhi control karein aur agli baar resistant variety lagayein."
164,Can I use organic compost instead of urea for cotton?,en,cotton,fertilizer_usage,Compost can supplement chemical fertilizers but may not fully replace urea for high-yield cotton.
165,Fasal mein nitrogen ki kami ki alamaat kya hoti hain?,ru,generic,fertilizer_guidance,"Purane pattay ka peela hona, khaas tor par pattay ki nok se shuru ho, nitrogen ki kami ki nishani hai."
166,Pakistan mein organic kapas ki kasht munafa bakhsh hai?,ru,cotton,organic_farming,Organic kapas ki premium price milti hai par certification aur market linkage zaroor chahiye.
167,Which cotton seed variety is best for high yield?,en,cotton,seed_selection,Certified BT cotton varieties like NIAB-878 or CIM-599 generally give high yields in Pakistan.
168,How to manage weeds without using chemical herbicides?,en,generic,farming_advice,"Hand weeding, mulching, and using a narrow row spacing helps suppress weed growth naturally."
169,Can drip irrigation be used for cotton farming?,en,cotton,irrigation_schedule,"Yes, drip irrigation saves 30 to 40 percent water and improves cotton yield and quality."
170,How to disinfect soil before planting cotton?,en,cotton,disease_management,Deep summer plowing and crop rotation help reduce soilborne pathogen levels before cotton planting.
171,What is the benefit of green manuring in farming?,en,generic,soil_health,"Green manuring adds nitrogen and organic matter, improving soil structure and crop yield."
172,Can cotton be grown successfully in waterlogged soil?,en,cotton,soil_type,"No, waterlogged soil causes root rot; improve drainage before planting cotton."
173,What precautions should I take during hot dry winds?,en,cotton,weather_impact,Irrigate more frequently during loo conditions and apply potassium spray to reduce heat stress.
174,Kapas par spray karne ka sahi waqt kaunsa hai?,ru,cotton,pest_control,Subah sawera ya shaam ko spray karein taakay zada asar ho aur nuksaan kam ho.
175,Khraab zameen ko kapas ke liye behtar kaise banayein?,ru,cotton,soil_type,"Gobar ki khaad, crop rotation aur hara khad mila kar zameen ki quality behtar karein."
176,What safety measures should I follow while spraying cotton?,en,cotton,pest_control,"Wear protective clothing, gloves, and mask; spray downwind and wash hands after spraying cotton."
177,Kapas bechne ka behtareen waqt kaunsa hota hai?,ru,cotton,market_price,Hasweet ke 2 se 3 mahine baad market mein rargi kam hoti hai to daam behtar milta hai.
178,What damages cotton fiber quality during harvesting?,en,cotton,harvesting,"Rain, soil contamination, and delayed picking after boll opening all reduce fiber quality."
179,Kapas ke paudhay ki topping se faida hota hai?,ru,cotton,yield_improvement,Topping se badhwaar tindayon ki taraf concentrate hoti hai aur wazn aur pakwaan behtar hoti hai.
180,Zameen mein keenchway ka kya kirdar hai?,ru,generic,soil_health,"Keenchway zameen mein hawa aur naali banate hain, organic madda torte hain aur ghizayi ajza available karte hain."
181,Pakistan mein organic kapas ki kasht munafa bakhsh hai?,ru,cotton,organic_farming,Organic kapas ki premium price milti hai par certification aur market linkage zaroor chahiye.
182,Kapas ki jarh ke liye zameen ki gahraai kitni honi chahiye?,ru,cotton,soil_type,Kapas ki jarh ke liye 60 se 90 cm naram aur drainage wali zameen ki zaroorat hoti hai.
183,What type of soil is best for cotton farming?,en,cotton,soil_type,"Deep, well-drained sandy loam soil with good organic matter is best suited for cotton farming."
184,What spray is effective against cotton boll rot?,en,cotton,disease_management,Mancozeb or copper oxychloride spray helps reduce boll rot caused by fungal pathogens.
185,Naami wali kapas ka daam market mein kam kyon hota hai?,ru,cotton,market_price,8 faised se zyada naami wali kapas ka wazn katwa jaata hai mandi mein jo daam kum karta hai.
186,What damages cotton fiber quality during harvesting?,en,cotton,harvesting,"Rain, soil contamination, and delayed picking after boll opening all reduce fiber quality."
187,Paani bhra khet mein irrigation kaise manage karein?,ru,generic,irrigation_methods,"Drainage channels kholein, ridges banayein aur shadeed baarish ke baad fizool paani pump karein."
188,Zameen ki zarkhaizi barhane ka tareeqa kya hai?,ru,generic,soil_health,"Compost milana, gobar ki khaad dena aur dalhan ki fasal rotation mein shamil karna zameen ko behtar banata hai."
189,Khet mein paani ki efficiency kaise barhayein?,ru,generic,irrigation_methods,"Drip ya sprinkler lagayein, zameen baraabar karein, raat ko pani dein aur gerhai ki jotai kum karein."
190,What certified cotton varieties does government recommend?,en,cotton,seed_selection,"The government recommends NIAB, CIM, and MNH series varieties each season; check local agriculture office."
